water_risk_mapping,wue_profile,profile_rank,east_wue_l_per_kwh_it,north_wue_l_per_kwh_it,northwest_wue_l_per_kwh_it,southwest_wue_l_per_kwh_it,status_quo_direct_water_l,carbon_first_direct_water_l,direct_water_change_pct,status_quo_high_stress_water_l,carbon_first_high_stress_water_l,status_quo_high_stress_share_pct,carbon_first_high_stress_share_pct,high_stress_share_change_pp,direct_water_change_class,use_panel_a,use_panel_b,use_panel_c,use_panel_d,evidence_id
conservative_max,factorial_054,1,2,0.36,0.36,0.36,113.854458024266,85.8462613489749,-24.6000000011607,113.854458024266,85.8462613489749,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_055,19,2,0.36,0.36,1.15,113.854458024266,97.6721143732752,-14.2131840349559,113.854458024266,97.6721143732752,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_056,28,2,0.36,0.36,2,113.854458024266,110.396133450054,-3.03749597005196,113.854458024266,110.396133450054,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_057,3,2,0.36,1.15,0.36,113.854458024266,86.6945685316339,-23.8549196614183,113.854458024266,86.6945685316339,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_058,21,2,0.36,1.15,1.15,113.854458024266,98.5204215559343,-13.4681036952135,113.854458024266,98.5204215559343,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_059,31,2,0.36,1.15,2,113.854458024266,111.244440632713,-2.2924156303096,113.854458024266,111.244440632713,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_060,6,2,0.36,2,0.36,113.854458024266,87.6073041079126,-23.0532509414423,113.854458024266,87.6073041079126,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_061,24,2,0.36,2,1.15,113.854458024266,99.433157132213,-12.6664349752375,113.854458024266,99.433157132213,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_062,34,2,0.36,2,2,113.854458024266,112.157176208992,-1.49074691033362,113.854458024266,112.157176208992,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_063,2,2,1.15,0.36,0.36,113.854458024266,86.6638544185275,-23.8818963065487,113.854458024266,86.6638544185275,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_064,20,2,1.15,0.36,1.15,113.854458024266,98.4897074428279,-13.4950803403439,113.854458024266,98.4897074428279,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_065,30,2,1.15,0.36,2,113.854458024266,111.213726519607,-2.31939227544004,113.854458024266,111.213726519607,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_066,4,2,1.15,1.15,0.36,113.854458024266,87.5121616011865,-23.1368159668064,113.854458024266,87.5121616011865,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_067,22,2,1.15,1.15,1.15,113.854458024266,99.3380146254869,-12.7500000006016,113.854458024266,99.3380146254869,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_068,32,2,1.15,1.15,2,113.854458024266,112.062033702266,-1.57431193569768,113.854458024266,112.062033702266,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_069,8,2,1.15,2,0.36,113.854458024266,88.4248971774652,-22.3351472468304,113.854458024266,88.4248971774652,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_070,26,2,1.15,2,1.15,113.854458024266,100.250750201766,-11.9483312806256,113.854458024266,100.250750201766,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_071,38,2,1.15,2,2,113.854458024266,112.974769278544,-0.772643215721702,113.854458024266,112.974769278544,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_072,5,2,2,0.36,0.36,113.854458024266,87.5435431642487,-23.109253090827,113.854458024266,87.5435431642487,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_073,23,2,2,0.36,1.15,113.854458024266,99.3693961885491,-12.7224371246222,113.854458024266,99.3693961885491,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_074,33,2,2,0.36,2,113.854458024266,112.093415265328,-1.54674905971833,113.854458024266,112.093415265328,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_075,7,2,2,1.15,0.36,113.854458024266,88.3918503469077,-22.3641727510847,113.854458024266,88.3918503469077,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_076,25,2,2,1.15,1.15,113.854458024266,100.217703371208,-11.9773567848798,113.854458024266,100.217703371208,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_077,37,2,2,1.15,2,113.854458024266,112.941722447987,-0.801668719975956,113.854458024266,112.941722447987,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_078,9,2,2,2,0.36,113.854458024266,89.3045859231865,-21.5625040311087,113.854458024266,89.3045859231865,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_079,27,2,2,2,1.15,113.854458024266,101.130438947487,-11.1756880649039,113.854458024266,101.130438947487,100,100,0,decrease,False,False,False,True,T3C04;T1R08;T1R09
conservative_max,factorial_080,41,2,2,2,2,113.854458024266,113.854458024266,0,113.854458024266,113.854458024266,100,100,0,unchanged,False,False,False,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_000,39,0.36,0.36,0.36,0.36,20.4938024443678,20.4938024443678,-2.22044604925031e-14,0,0.759144418729371,0,3.70426337811215,3.70426337811215,unchanged,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_001,64,0.36,0.36,0.36,1.15,20.4938024443678,32.3196554686682,57.7045331455822,0,0.759144418729371,0,2.34886296812573,2.34886296812573,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_002,73,0.36,0.36,0.36,2,20.4938024443678,45.0436745454471,119.791689061715,0,0.759144418729371,0,1.68535188656384,1.68535188656384,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_003,48,0.36,0.36,1.15,0.36,20.4938024443678,21.3421096270269,4.13933522079091,0,1.6074516013884,0,7.53183087089377,7.53183087089377,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_004,66,0.36,0.36,1.15,1.15,20.4938024443678,33.1679626513272,61.8438683663732,0,1.6074516013884,0,4.84639837027818,4.84639837027818,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_005,75,0.36,0.36,1.15,2,20.4938024443678,45.8919817281061,123.931024282506,0,1.6074516013884,0,3.50268508976576,3.50268508976576,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_006,51,0.36,0.36,2,0.36,20.4938024443678,22.2548452033056,8.59305033176847,0,2.5201871776671,0,11.3242179608276,11.3242179608276,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_007,69,0.36,0.36,2,1.15,20.4938024443678,34.0806982276059,66.2975834773507,0,2.5201871776671,0,7.39476392424879,7.39476392424879,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_008,78,0.36,0.36,2,2,20.4938024443678,46.8047173043848,128.384739393483,0,2.5201871776671,0,5.38447259766058,5.38447259766058,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_009,47,0.36,1.15,0.36,0.36,20.4938024443678,21.3113955139205,3.98946497006629,0,1.57673748828202,0,7.39856518195676,7.39856518195676,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_010,65,0.36,1.15,0.36,1.15,20.4938024443678,33.1372485382208,61.6939981156485,0,1.57673748828202,0,4.75820280148906,4.75820280148906,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_011,74,0.36,1.15,0.36,2,20.4938024443678,45.8612676149997,123.781154031781,0,1.57673748828202,0,3.43805910800057,3.43805910800057,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_012,49,0.36,1.15,1.15,0.36,20.4938024443678,22.1597026965795,8.12880019085722,0,2.42504467094104,0,10.9434891981442,10.9434891981442,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_013,67,0.36,1.15,1.15,1.15,20.4938024443678,33.9855557208799,65.8333333364394,0,2.42504467094104,0,7.13551571984788,7.13551571984788,increase,True,True,True,True,T3C04;T1R08;T1R09
portfolio_mean,factorial_014,76,0.36,1.15,1.15,2,20.4938024443678,46.7095747976588,127.920489252572,0,2.42504467094104,0,5.1917506880465,5.1917506880465,increase,True,True,True,True,T3C04;T1R08;T1R09
