trace_timestamp_anonymized,request_type,request_count,service_accelerator_hours,total_images,median_exec_time_seconds,p95_exec_time_seconds,hour_index,workload_class,service_quantity_status
2024-11-16 14:00:00,INPAINTING,0.0,0.0,0.0,,,22,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 14:00:00,TXT_2_IMG,0.0,0.0,0.0,,,22,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 15:00:00,IMG_2_IMG,0.0,0.0,0.0,,,23,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 15:00:00,INPAINTING,0.0,0.0,0.0,,,23,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 15:00:00,TXT_2_IMG,1.0,0.006944444444444444,1.0,25.0,25.0,23,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 16:00:00,IMG_2_IMG,2.0,0.022222222222222223,2.0,40.0,41.8,24,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 16:00:00,INPAINTING,0.0,0.0,0.0,,,24,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 16:00:00,TXT_2_IMG,0.0,0.0,0.0,,,24,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 17:00:00,IMG_2_IMG,0.0,0.0,0.0,,,25,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 17:00:00,INPAINTING,0.0,0.0,0.0,,,25,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 17:00:00,TXT_2_IMG,0.0,0.0,0.0,,,25,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 18:00:00,IMG_2_IMG,0.0,0.0,0.0,,,26,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 18:00:00,INPAINTING,0.0,0.0,0.0,,,26,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 18:00:00,TXT_2_IMG,0.0,0.0,0.0,,,26,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 19:00:00,IMG_2_IMG,0.0,0.0,0.0,,,27,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 19:00:00,INPAINTING,0.0,0.0,0.0,,,27,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 19:00:00,TXT_2_IMG,4.0,0.025277777777777777,4.0,23.0,24.85,27,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 20:00:00,IMG_2_IMG,0.0,0.0,0.0,,,28,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
2024-11-16 20:00:00,INPAINTING,0.0,0.0,0.0,,,28,genai_diffusion_serving,single-accelerator-equivalent hours from successful request execution time; not measured fleet GPU occupancy
