hour_index,trace_timestamp_utc,request_count,service_accelerator_hours,boundary_fallback_request_count,boundary_fallback_service_accelerator_hours,processed_context_tokens,processed_generated_tokens
104,2024-05-14 08:00:00+00:00,26421,1266.678852267989,8406,1241.2874635167814,63000992,644450
105,2024-05-14 09:00:00+00:00,29978,1421.7768272825676,9414,1390.1356390134404,71496000,809631
106,2024-05-14 10:00:00+00:00,32842,1499.7264117620575,9938,1467.5130635771798,74547891,851104
107,2024-05-14 11:00:00+00:00,47275,1875.018512425243,12369,1826.4911534902533,102186750,1143811
108,2024-05-14 12:00:00+00:00,92053,3303.1665844016547,21690,3202.893776312038,192741717,2215554
109,2024-05-14 13:00:00+00:00,173371,5963.911620897081,39199,5788.392491362635,352113325,3832452
110,2024-05-14 14:00:00+00:00,239881,8443.901066347526,55540,8201.416336393295,492371377,5322327
111,2024-05-14 15:00:00+00:00,246013,9130.284263141843,60198,8889.248480702261,528337218,5367363
112,2024-05-14 16:00:00+00:00,218782,7773.108288698705,51112,7547.547565461543,460727587,4919864
113,2024-05-14 17:00:00+00:00,263399,9488.24855839944,62467,9224.304542410515,551020516,5840887
114,2024-05-14 18:00:00+00:00,298181,11109.736391886938,73301,10824.127095318057,640069689,6389262
115,2024-05-14 19:00:00+00:00,295651,11071.934781397405,73039,10785.438383036188,641249530,6358636
116,2024-05-14 20:00:00+00:00,272974,10775.63767283133,71255,10522.000739101624,600863748,5780674
117,2024-05-14 21:00:00+00:00,194145,7256.962246213566,47839,7064.233995619713,414513875,4278057
118,2024-05-14 22:00:00+00:00,147631,5209.341059053271,34247,5057.146295867144,305780462,3285917
119,2024-05-14 23:00:00+00:00,108847,3741.795197935735,24582,3629.9462798203094,220483549,2466290
120,2024-05-15 00:00:00+00:00,101024,3188.066312046428,20844,3077.9676290201987,196005967,2325461
121,2024-05-15 01:00:00+00:00,89036,2623.272405613565,17066,2520.0823045892685,171792269,2137994
122,2024-05-15 02:00:00+00:00,81465,2862.1009284535817,18794,2775.250605440684,165340100,1951778
123,2024-05-15 03:00:00+00:00,75135,2648.070847444335,17368,2564.677690501958,153839378,1820412
