grid_request_id,num_prefill_tokens,num_decode_tokens,request_execution_time,request_model_execution_time,request_scheduling_delay,request_preemption_time
93,128,2,0.0367777065057589,0.0367777065057589,0.0,0.0
94,128,4,0.0688443239011639,0.0688443239011639,0.0,0.0
95,128,8,0.1329775586919738,0.1329775586919738,0.0,0.0
96,128,16,0.2612440282735936,0.2612440282735936,0.0,0.0
97,128,32,0.5177769674368333,0.5177769674368333,0.0,0.0
98,128,64,1.0308428457633123,1.0308428457633123,0.0,0.0
99,128,128,2.053278602416272,2.053278602416272,0.0,0.0
100,128,256,4.100809102388844,4.100809102388844,0.0,0.0
101,128,512,8.201739115667301,8.201739115667301,0.0,0.0
102,128,1024,16.43333076889099,16.43333076889099,0.0,0.0
103,128,2048,33.02137037163479,33.02137037163479,0.0,0.0
104,128,3072,49.72220893141654,49.72220893141654,0.0,0.0
105,256,1,0.0246080547249202,0.0246080547249202,0.0,0.0
106,256,2,0.040570216755956,0.040570216755956,0.0,0.0
107,256,4,0.0724945408180276,0.0724945408180276,0.0,0.0
108,256,8,0.1363431889421709,0.1363431889421709,0.0,0.0
109,256,16,0.2640404851904574,0.2640404851904574,0.0,0.0
110,256,32,0.5194350776870301,0.5194350776870301,0.0,0.0
111,256,64,1.030224262680177,1.030224262680177,0.0,0.0
112,256,128,2.0561639126664626,2.0561639126664626,0.0,0.0
113,256,256,4.107469879305712,4.107469879305712,0.0,0.0
114,256,512,8.214343679250906,8.214343679250906,0.0,0.0
115,256,1024,16.45682525247456,16.45682525247456,0.0,0.0
116,256,2048,33.059657708551995,33.059657708551995,0.0,0.0
117,256,3072,49.77134352166729,49.77134352166729,0.0,0.0
118,512,1,0.0359966428476673,0.0359966428476673,0.0,0.0
119,512,2,0.0520048848787032,0.0520048848787032,0.0,0.0
120,512,4,0.0840213689407748,0.0840213689407748,0.0,0.0
121,512,8,0.1480543370649181,0.1480543370649181,0.0,0.0
122,512,16,0.2761202733132046,0.2761202733132046,0.0,0.0
123,512,32,0.5322521458097773,0.5322521458097773,0.0,0.0
124,512,64,1.0445158908029228,1.0445158908029228,0.0,0.0
125,512,128,2.06960114078922,2.06960114078922,0.0,0.0
126,512,256,4.126850894095142,4.126850894095142,0.0,0.0
127,512,512,8.238482454040303,8.238482454040303,0.0,0.0
128,512,1024,16.51461202726412,16.51461202726412,0.0,0.0
129,512,2048,33.13813195000808,33.13813195000808,0.0,0.0
130,512,3072,49.88582853645568,49.88582853645568,0.0,0.0
131,1024,1,0.0732321656953347,0.0732321656953347,0.0,0.0
132,1024,2,0.0893453677263705,0.0893453677263705,0.0,0.0
133,1024,4,0.1215717717884422,0.1215717717884422,0.0,0.0
134,1024,8,0.1860245799125854,0.1860245799125854,0.0,0.0
135,1024,16,0.3149301961608717,0.3149301961608717,0.0,0.0
136,1024,32,0.5727414286574445,0.5727414286574445,0.0,0.0
137,1024,64,1.0883638936505906,1.0883638936505906,0.0,0.0
138,1024,128,2.1198305836368845,2.1198305836368845,0.0,0.0
139,1024,256,4.1879702569428,4.1879702569428,0.0,0.0
140,1024,512,8.333249816887971,8.333249816887971,0.0,0.0
141,1024,1024,16.628982033074617,16.628982033074617,0.0,0.0
142,1024,2048,33.31539083285516,33.31539083285516,0.0,0.0
143,1024,3072,50.12001520596951,50.12001520596951,0.0,0.0
144,2048,1,0.1488622982478124,0.1488622982478124,0.0,0.0
145,2048,2,0.1650818469455149,0.1650818469455149,0.0,0.0
146,2048,4,0.1975209443409198,0.1975209443409198,0.0,0.0
147,2048,8,0.2623991391317298,0.2623991391317298,0.0,0.0
148,2048,16,0.3921555287133496,0.3921555287133496,0.0,0.0
149,2048,32,0.6516683078765892,0.6516683078765892,0.0,0.0
150,2048,64,1.1706938662030677,1.1706938662030677,0.0,0.0
151,2048,128,2.211500182856024,2.211500182856024,0.0,0.0
